NR_ZONA;NR_LOCAL_VOTACAO;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO;QT_VOTOS_NOMINAIS;QT_VOTOS_LOHANNA
30;1449;ESCOLA ESTADUAL PRINCESA ISABEL;RUA SANTA JUDITH, 565;4042;17
30;1457;ESCOLA MUNICIPAL CORNÉLIO VAZ DE MELO;RUA LEOPOLDINO DE OLIVEIRA,  231;1453;8
31;1015;ESCOLA ESTADUAL PROF. ALISSON PEREIRA GUIMARAES;RUA DOS ECONOMISTAS   , 612 ;5224;38
31;1023;ESCOLA MUNICIPAL JÚLIA PARAÍSO;RUA TIÊS ESQUINA COM LEONIL PRATA SN;3408;12
31;1031;ESCOLA ESTADUAL MADRE CARMELITA;AV. ANTÔNIO FRANCISCO LISBOA, 500;3433;21
31;1058;COLÉGIO BATISTA MINEIRO - UNIDADE CASTELO;AV. HERÁCLITO MOURÃO DE MIRANDA, 2930 (ANTIGA AV. ATLÂNTIDA);2736;41
31;1082;EMEI MANACÁS - ESCOLA MUNICIPAL DE EDUCAÇÃO INFANTIL;RUA FRANCISCA SANTOS ANASTÁSIA, 860;2614;6
31;1090;ESCOLA ESTADUAL GUIA LOPES;RUA BARÃO DE CAMARGOS  , 88;2972;5
31;1104;ESCOLA MUNICIPAL MARIA DE MAGALHÃES PINTO;RUA SENADOR VIRGÍLIO TÁVARA, 155;4152;27
31;1112;ESCOLA ESTADUAL BENVINDA DE CARVALHO;RUA FLOR DAS COBRAS, 100;3585;21
31;1120;ESCOLA ESTADUAL MANOEL COSTA;RUA HORÁCIO TERENA GUIMARÃES, 495;2751;10
31;1139;ESCOLA ESTADUAL FRANCISCO MENEZES FILHO;RUA JOÃO ANTÔNIO CARDOSO  , 318;3633;58
31;1147;ESCOLA MUNICIPAL CARMELITA CARVALHO GARCIA;RUA ALUÍZIO DAVIS, 53;2389;4
31;1171;COLÉGIO SANTA MARCELINA;ALAMEDA DAS FALCATAS 505;3534;30
31;1180;ESCOLA MUNICIPAL DOM ORIONE;AV EXPEDICIONÁRIO BENVINDO BELÉM DE LIMA, 500;5116;71
31;1201;ESCOLA MUNICIPAL FRANCISCA ALVES;AV. SANTA TEREZINHA  , S/N;2521;16
31;1236;COLÉGIO ADVENTISTA DE BELO HORIZONTE;RUA AVEIRO, 367;805;7
31;1244;ESCOLA ESTADUAL PROFESSOR AFONSO NEVES;RUA GUIMARÃES, 900;962;4
31;1260;ESCOLA ESTADUAL EUZÉBIO DIAS BICALHO;AV. SERRANO, 75;2608;11
31;1279;ESCOLA MUNICIPAL PROFESSORA ALICE NACIF;RUA EXP. PAULO DE SOUZA, 721;5332;21
31;1287;ESCOLA ESTADUAL URSULINA ANDRADE MELO;RUA FLOR DE VIDRO, 251;2153;10
31;1295;ESCOLA MUNICIPAL IGNÁCIO DE ANDRADE MELO;RUA VIOLETA DE MELO, 988;2590;1
31;1309;ESCOLA MUNICIPAL SANTA TEREZINHA;RUA CONCEIÇÃO APARECIDA, 400;4830;29
31;1325;COLEGUIUM - UNIDADE OURO PRETO;RUA CARLOS FREDERICO CAMPOS, 630;3825;80
31;1333;COLEGUIUM - UNIDADE ALÍPIO DE MELO;RUA DOS ECONOMISTAS, 75 - ALÍPIO DE MELO;4001;68
31;1341;CENTRO DE APOIO COMUNITÁRIO - CAC;RUA FLOR DAS COBRAS, 10;440;2
31;1350;COLEGUIUM - UNIDADE CASTELO;RUA CASTELO DE GUIMARÃES, 615;2525;21
